"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-04-30","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-04-30","1715  Apple Com Bill Apple Com Bill Cupertino Ca",32.46,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-30","Transfer 65x0230 To 65x",-1500,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-04-30","Transfer 67x0067 To 65x",-625,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-04-30","Exxonmobil",76.78,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-30","Transfer 67x0067 To 65x",625,"posted","",,true,,"internal transfer","Cheetah Savings","0067",,""
"2025-04-30","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-04-30","Home Depot",-199.73,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-30","Home Depot",54.56,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-30","Transfer 65x0230 To 65x",1500,"posted","",,true,,"internal transfer","Cheetah Checking","0230",,""
"2025-04-30","Amazon",30.3,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-29","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-29","Home Depot",220.8,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-29","Circle K",59.21,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-28","Walmart",27.83,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-04-28","Venmo",120,"posted","B - Rent","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-04-28","Tele Bill Gvtc",76.44,"posted","Utilities","Home Essentials",false,,"regular","Main Personal","0232",,""
"2025-04-28","Deposit",-792.83,"posted","",,true,,"income","Main Personal","0232",,""
"2025-04-28","Home Depot",150.37,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-28","Dbt Crd 0340  Shopify 359793878 Shopify.com Il",1.06,"posted","Other",,false,,"regular","Cheetah Checking","0230",,""
"2025-04-28","Dbt Crd 1815  Mountain Crest Gardens Mountaincrest Ca",221.54,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-28","Dbt Crd 0217  Progressive Ins Oh",166.18,"posted","Insurance","Future Needs/Saving",false,,"regular","Cheetah Checking","0230",,""
"2025-04-27","Dbt Crd 0142  Eqt Aetna Cvs Health Ct",46.52,"posted","Healthcare","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-04-27","Dbt Crd 1024  Allmand Law Firm Tx",25,"posted","Bank-rup",,false,,"regular","Main Personal","0232",,""
"2025-04-27","Dbt Crd 0526  Apple.com-bill Ca",9.99,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-27","Dbt Crd 1318  Openai Chatgpt Subscr Openai.com Ca",194.36,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-27","Dbt Crd 2206  Wm Supercenter #1126 Boerne Tx",464.77,"posted","Groceries","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-04-27","Dbt Crd 1219  Hill Country Nursery Boerne Tx",64.93,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-26","Raising Cane's Chicken Fingers",85.85,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-04-25","Burger King",27.14,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-24","Dbt Crd 2113  Ctlpgrande H2o Llc Sanantonio Tx",3.05,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-04-24","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-24","Dbt Crd 2107  Ctlpgrande H2o Llc Sanantonio Tx",6.1,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-04-24","Dbt Crd 2110  Ctlpgrande H2o Llc Sanantonio Tx",6.1,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-04-24","Sq250424 Square Inc",-1468.93,"posted","Income",,false,"Triton","regular","Cheetah Checking","0230",,""
"2025-04-24","Dbt Crd 1119  Fiverr Ny",20,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-23","Dairy Queen",20.28,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-04-23","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-04-23","Taco Bell",19.57,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-04-23","Circle K",46.05,"posted","Fuel","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-23","Netflix",27.05,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-04-22","Dbt Crd 1403  Openai Chatgpt Subscr Openai.com Ca",21.28,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-22","Home Depot",111.06,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-04-22","Sq250422 Square Inc",-2167.54,"posted","Income",,false,"Triton","regular","Cheetah Checking","0230",,""
