"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-02-28","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-02-28","Walmart",23.8,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-02-28","Dbt Crd 1225  Tstfree Roam Brewing Boerne Tx",27.31,"posted","Party Store & Bars","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-02-28","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-02-28","Walmart",5.39,"posted","Holiday/Gifts","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-02-28","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-02-28","Whataburger",22.05,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-02-28","Dbt Crd 0333  Amazon Mktplvd1x23u63",27.83,"posted","Work Expenses",,true,,"regular","Cheetah Checking","0230","Nissan License Plate Cover - New replacement",""
"2025-02-28","Dbt Crd 1343  Etsy, Inc. Ny",23.2,"posted","Other",,false,,"regular","Cheetah Checking","0230","Renters
",""
"2025-02-28","Taco Bell",22.65,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-02-28","Dbt Crd 0334  Amazon.comk59ay9uz3",14.02,"posted","Work Expenses",,true,,"regular","Cheetah Checking","0230","4” Microfiber Paint Rollers",""
"2025-02-27","Exxonmobil",35.69,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-02-27","Dbt Crd 0829  Rvtboerne Isd Tx",7.29,"posted","School","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-02-27","Dbt Crd 1220  Sq Lupe S Local Mex-t Boerne Tx",55.96,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-02-27","Sale Williamson Roofi Ccd",791,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-02-26","Tele Bill Gvtc",76.44,"posted","Utilities","Home Essentials",false,,"regular","Main Personal","0232",,""
"2025-02-26","Walmart",1.88,"posted","Household","Shopping",false,,"regular","Main Personal","0232",,""
"2025-02-26","Dbt Crd 1643  Amazon.comao6g30ql3",18.22,"posted","Household","Shopping",false,,"regular","Main Personal","0232","Flushable Wipes",""
"2025-02-26","Dbt Crd 0939  River Road Pharmacy Boerne Tx",78.95,"posted","Healthcare","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-02-26","Dbt Crd 1724  Red Crest Pet Shop Boerne Tx",7.47,"posted","Pets","Shopping",false,,"regular","Main Personal","0232",,""
"2025-02-26","Dbt Crd 1643  Amazon",22.72,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230","Oval Silicone Mold  -didnt work out- Bad design",""
"2025-02-26","Shell",62.03,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-02-26","Dbt Crd 1643  Amazon",17.31,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230","ReVessel Bowl Silicone",""
"2025-02-25","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-02-25","Walmart",125.81,"posted","Household","Shopping",false,,"regular","Main Personal","0232",,""
