"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-01-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-01-31","Deposit",-2525,"posted","Home Rent","Home Essentials",false,,"regular","Savings Personal","0231",,""
"2025-01-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-01-31","Circle K",40.54,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-01-31","Whataburger",12.96,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-01-31","Circle K",11.9,"posted","Party Store & Bars","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-01-31","Dbt Crd 2038  Apple.com-bill Ca",32.46,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-01-31","Dbt Crd 2024  Apple.com-bill Ca",2.15,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-01-31","Dbt Crd 1113  Amazon",12.65,"posted","Clothing","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-01-31","Dbt Crd 2059  Infernos Boerne Llc Boerne Tx",61.19,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-01-31","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-01-30","Chevron",43.72,"posted","Fuel","Shopping",false,,"regular","Main Personal","0232",,""
"2025-01-29","Dbt Crd 0947  Kendall Vehreg Www.texas.gov Tx",72,"posted","B - Auto Repair","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-01-29","Dbt Crd 0602  Lemonade Insurance Lemonade.com Ny",23.83,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-01-29","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-01-29","Dbt Crd 1915  Amazon",17.2,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-01-29","Whataburger",13.63,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-01-29","Dbt Crd 1917  Amazon",7.56,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-01-29","Sq250129 Square Inc",-5486.04,"posted","Income",,false,,"regular","Cheetah Checking","0230",,""
"2025-01-29","Home Depot",255.22,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-01-28","Dbt Crd 1116  Amazon.comzg94y2kb1",9.24,"posted","Household","Shopping",false,,"regular","Main Personal","0232",,""
"2025-01-28","Dbt Crd 0835  Sq Snowflake Doughnut Boerne Tx",8.34,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-01-28","Dbt Crd 0933  Usps Change Of Address Tn",1.1,"posted","Other",,false,,"regular","Main Personal","0232",,""
