"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-07-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-07-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-07-31","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-07-30","Dbt Crd 0743  Paypal Hostinger De",23.38,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-30","Dbt Crd 2015  Amazon.combo54i24z3",16.77,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Main Personal","0232","Mycorrhizal fungi plant growth powder- Plants",""
"2025-07-30","1015  Lemonade Insuran 5 Crosby St, Fl 3 Internet Ny",23.83,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-07-30","Dbt Crd 1112  Amazon",58.84,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Main Personal","0232","African violet soil, moss pole supports, plant fly traps & Leca Balls- Plants",""
"2025-07-30","Circle K",9,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-30","Circle K",13.8,"posted","Party Store & Bars","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-30","Dbt Crd 0856  Heb Online #108 Tx",260.72,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-30","Whataburger",13.85,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-30","Dbt Crd 1849  Claude.aianthropic.com Ca",106.6,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-30","Home Depot",362.75,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Main Personal","0232",,""
"2025-07-30","Dbt Crd 1112  Amazon.comwk3t68hv3",25.93,"posted","Household","Shopping",false,,"regular","Cheetah Checking","0230","Toilet paper",""
"2025-07-29","Dbt Crd 1250  Paypal Progressive",177.11,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-07-29","Home Depot",88.56,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Main Personal","0232",,""
"2025-07-29","Dbt Crd 1533  Wm Supercenter #1126 Boerne Tx",30,"posted","Party Store & Bars","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-29","Dollar Tree",30.19,"posted","Household","Shopping",false,,"regular","Main Personal","0232","Feminine products, personal care type products. ",""
"2025-07-29","Acctverify Ally Bank",0.59,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-07-29","Acctverify Ally Bank",-0.43,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-07-29","Acctverify Ally Bank",-0.16,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-07-29","1919  Wm Supercenter # 1381 S Main St Boerne Tx",78.25,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Main Personal","0232",,""
"2025-07-29","Dbt Crd 1533  Wm Supercenter #1126 Boerne Tx",134.14,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-29","Dbt Crd 2155  Amazon.com9l3io3vc3",28.26,"posted","Household","Shopping",false,,"regular","Cheetah Checking","0230","Tide Pods",""
"2025-07-28","Mcdonald's",32.35,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-28","Circle K",13.4,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-07-28","Deposit",-6339.69,"posted","",,true,,"income","Main Personal","0232",,""
"2025-07-28","Dbt Crd 1958  Paypal Progressive",156.18,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-07-28","Venmo",21.64,"posted","Other",,false,,"regular","Main Personal","0232",,""
"2025-07-27","Dbt Crd 1521  Domino S 6484 Tx",108.63,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-27","Dbt Crd 2216  Amazon",42.74,"posted","Household","Shopping",false,,"regular","Main Personal","0232","Zoey’s Personal care soaps and items- She Paid in full",""
"2025-07-27","Transfer 65x0230 To 65x",-1000,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-07-27","Home Depot",89.76,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Main Personal","0232",,""
"2025-07-27","Whataburger",13.95,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-27","Dbt Crd 1556  Amazon",57.06,"posted","Household","Shopping",false,,"regular","Main Personal","0232","Zoey’s Personal care soaps and items- She Paid in full",""
"2025-07-27","Transfer 65x0230 To 65x",1000,"posted","",,true,,"internal transfer","Cheetah Checking","0230",,""
"2025-07-27","Home Depot",393.91,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Cheetah Checking","0230","Ann Muir",""
"2025-07-26","Circle K",13.4,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-07-26","Circle K",49.67,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-25","Apple.com-bill One Apple Park Way, Ca, Us",9.99,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Spending Account","4117",,""
"2025-07-25","Dbt Crd 2314  Las Palapas Boerne Tx",69.35,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-25","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-07-25","Deposit",-1850,"posted","",,true,"Triton","income","Cheetah Checking","0230","Ann Muir",""
"2025-07-25","Dbt Crd 1835  Twilio Inc Twilio.com Ca",20,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-23","Google One Mountain View, Ca, Us",21.31,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Spending Account","4117",,""
"2025-07-23","Netflix",27.05,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-07-23","Exxonmobil",21.64,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-07-23","Dbt Crd 1953  Amazon",38.4,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Cheetah Checking","0230","Cactus garden gloves Med, and small sizes",""
"2025-07-23","Dbt Crd 1436  Amazon",19.2,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Cheetah Checking","0230","Levi’s Cactus care gloves",""
"2025-07-22","Deposit",-100,"posted","",,true,,"income","Main Personal","0232",,""
"2025-07-22","Dbt Crd 0605  Amazon.comqr4l34z33",46.53,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Cheetah Checking","0230","Ceiling fan light kit- Triton",""
"2025-07-22","Dbt Crd 0336  Amazon.comqr1zx8x83",11.4,"posted","Household","Shopping",false,,"regular","Cheetah Checking","0230","Laundry softener",""
"2025-07-22","Dbt Crd 0335  Amazon.comyz5w28sp3",186.12,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Cheetah Checking","0230","Ceiling fan light kit (2) - Triton",""
"2025-07-22","Dbt Crd 2046  Topaz Labs Software Topazlabs.com Tx",69.28,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-22","Dbt Crd 2317  Kwik Chek #59 Boerne Tx",39.08,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-22","Dbt Crd 2316  Kwik Chek #59 Boerne Tx",7.12,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-21","Venmo",-80,"posted","Other",,false,,"regular","Main Personal","0232",,""
"2025-07-21","Dbt Crd 1319  Openai Chatgpt Subscr Openai.com Ca",21.28,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-21","Whataburger",12.76,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-21","Sherwin-williams",34.68,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Cheetah Checking","0230",,""
"2025-07-21","Home Depot",142.54,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Cheetah Checking","0230",,""
"2025-07-20","Dbt Crd 1657  Ctlpgrande H2o Llc Sanantonio Tx",2.3,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-20","Dbt Crd 1656  Ctlpgrande H2o Llc Sanantonio Tx",2.3,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-20","Dbt Crd 1652  Ctlpgrande H2o Llc Sanantonio Tx",6.9,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-20","Dbt Crd 0514  Apple.com-bill Ca",2.15,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-07-20","Dbt Crd 1651  Ctlpgrande H2o Llc Sanantonio Tx",2.3,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-07-20","Circle K",28.8,"posted","Tobacco","Shopping",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Circle K",5.1,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Whataburger",11.57,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Taco Bell",27.96,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Dbt Crd 1401  Metricool.com Madrid Es",22,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Dbt Crd 1153  Sq Snowflake Doughnut Boerne Tx",27.98,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Int Fee 1632  Metricool.com Madrid 00 C",0.18,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-20","Circle K",58.24,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-07-19","Dbt Crd 1804  H-e-b #621 Boerne Tx",11.91,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
