"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-06-30","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-06-30","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-06-30","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-06-30","Deposit",-2000,"posted","",,true,,"income","Main Personal","0232",,""
"2025-06-30","Interest Deposit",-0.08,"posted","",,true,,"income","Cheetah Savings","0067",,""
"2025-06-30","Dbt Crd 1040  Claude.aianthropic.com Ca",100.82,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-30","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-06-29","Circle K",18.01,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Spending Account","4117",,""
"2025-06-29","Circle K",35.13,"posted","Tobacco","Shopping",false,,"regular","Spending Account","4117",,""
"2025-06-29","Dbt Crd 0001  Lovable Lovable.dev De",25,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-29","Amazon Digital",40,"posted","Kids Activites",,false,,"regular","Cheetah Checking","0230","Roblox cards $20.00 for each Ellie and Hannah",""
"2025-06-29","Dbt Crd 1920  Www.everbee.io Www.everbee.i Tx",29.99,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-29","Dbt Crd 2139  Anthropic Anthropic.com Ca",5.38,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-27","Brevity Coffee 18 428 W Bandera Rd Boerne, Tx, Us",19.49,"posted","Restaurants","Food & Drink",false,,"regular","Spending Account","4117",,""
"2025-06-27","Hill Country Nursery 32005 Ih 10 W Boerne, Tx, Us",23.97,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Spending Account","4117",,""
"2025-06-27","Hill Country Anima 115 W Bandera Rd Boerne, Tx, Us",35.03,"posted","B - COGS","Cheetah Elevation, LLC",false,"Plants","regular","Spending Account","4117",,""
"2025-06-27","Home Depot",50.59,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Spending Account","4117",,""
"2025-06-27","Return Item Fee",30,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-06-27","Sq250627 Square Inc",-430.81,"posted","Income",,false,"Triton","regular","Cheetah Checking","0230",,""
"2025-06-27","Dbt Crd 1218  Cbiaomei Il",63.95,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-27","Dbt Crd 1658  Paypal Hostinger De",22.34,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-06-26","Google One Mountain View, Ca, Us",21.31,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Spending Account","4117",,""
"2025-06-26","Cash App*sergio Luna Squareup.com Oakland, Ca, Us",525,"posted","B - COGS","Cheetah Elevation, LLC",false,"Triton","regular","Spending Account","4117",,""
"2025-06-26","Dd *doordash Subway 303 2nd Street Suite 80 San Francisco, Ca, Us",76.87,"posted","Restaurants","Food & Drink",false,,"regular","Spending Account","4117",,""
