"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-03-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-03-31","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-03-31","Dbt Crd 1518  Ctlpgrande H2o Llc Sanantonio Tx",4.6,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232","Water Jug Refill",""
"2025-03-31","Dbt Crd 0608  Lemonade Insurance Lemonade.com Ny",23.83,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-03-31","Dbt Crd 1515  Ctlpgrande H2o Llc Sanantonio Tx",4.6,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232","Water Jug Refill",""
"2025-03-31","Deposit",-3000,"posted","",,true,,"income","Main Personal","0232",,""
"2025-03-31","Dbt Crd 1524  Ctlpgrande H2o Llc Sanantonio Tx",4.6,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232","Water Jug Refill",""
"2025-03-31","Interest Deposit",-0.17,"posted","",,true,,"income","Cheetah Savings","0067",,""
"2025-03-31","Exxonmobil",50.62,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-31","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-03-30","Patreon Membership",74.73,"posted","Amos - Patreon",,false,,"regular","Main Personal","0232",,""
"2025-03-30","Dbt Crd 0709  Sq Snowflake Doughnut Boerne Tx",45.61,"posted","Restaurants","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-03-30","Circle K",44.44,"posted","Tobacco","Shopping",false,,"regular","Cheetah Checking","0230",,""
"2025-03-30","Circle K",55,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-30","Dairy Queen",18.69,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-28","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-28","Amazon",52.44,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-27","Amazon",27.76,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-27","Mcdonald's",12.77,"posted","Work food","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-27","Cre 0000  Apple.com-bill Ca",-6.48,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-26","Tele Bill Gvtc",76.44,"posted","Utilities","Home Essentials",false,,"regular","Main Personal","0232",,""
"2025-03-26","Amazon",96.47,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-03-26","Amazon",25.93,"posted","Household","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-26","Walmart",153.99,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230","sewing stuff",""
"2025-03-26","Dbt Crd 1337  Apple.com-bill Ca",21.64,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-26","Circle K",15.96,"posted","Tobacco","Shopping",false,,"regular","Cheetah Checking","0230",,""
"2025-03-26","Amazon",59.08,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-26","Dbt Crd 1325  Apple.com-bill Ca",6.48,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-25","Walmart",47.9,"posted","Party Store & Bars","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-03-25","Amazon",21.64,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-03-25","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-25","Patreon Membership",53.38,"posted","Amos - Patreon",,false,,"regular","Main Personal","0232",,""
"2025-03-25","Walmart",55.34,"posted","Household","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-25","Patreon Membership",53.36,"posted","Amos - Patreon",,false,,"regular","Main Personal","0232",,""
"2025-03-25","Walmart",42.18,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-03-25","Home Depot",98.51,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-25","1426  Apple Com Bill Apple Com Bill Cupertino Ca",9.99,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-03-25","Amazon",26.86,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-25","Amazon",9.73,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-24","Amazon",13.89,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-03-24","Dbt Crd 2112  Dd Doordash Raisingca Doordash.com Ca",29.76,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-03-24","Deposit",-695,"posted","",,true,,"income","Cheetah Checking","0230",,""
"2025-03-23","Transfer 65x0231 To 65x",1500,"posted","",,true,,"internal transfer","Savings Personal","0231",,""
"2025-03-23","Transfer 65x0231 To 65x",-1500,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-03-23","Netflix",27.05,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-23","Dbt Crd 1944  Wm Supercenter #1126 Boerne Tx",24.5,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 0743  Sq Snowflake Doughnut Boerne Tx",5.85,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 0156  Amazon",58.44,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230","Epoxy Resin Kit 1 Gallon-Crystal Clear, UV Resistant",""
"2025-03-23","Home Depot",70.83,"posted","B - COGS","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Whataburger",15.25,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 1315  O Reilly 4732 Boerne Tx",233.97,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 1944  Wm Supercenter #1126 Boerne Tx",361.42,"posted","Groceries","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 2159  Infernos Boerne Llc Boerne Tx",85.65,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 1944  Wm Supercenter #1126 Boerne Tx",5.39,"posted","Household","Shopping",false,,"regular","Cheetah Checking","0230",,""
"2025-03-23","Dbt Crd 1404  Openai Chatgpt Subscr Openai.com Ca",21.28,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-22","Circle K",34.78,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-22","Circle K",36.21,"posted","Tobacco","Shopping",false,,"regular","Cheetah Checking","0230",,""
"2025-03-21","Exxonmobil",24.89,"posted","Tobacco","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-21","Dbt Crd 0643  Roku For Cbs Interacti De",14.05,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-03-21","Patreon Membership",21.35,"posted","Amos - Patreon",,false,,"regular","Main Personal","0232",,""
"2025-03-21","Dbt Crd 0336  Amazon.comgt6t09km3",23.51,"posted","Household","Shopping",false,,"regular","Main Personal","0232","Paper Towels",""
"2025-03-21","Dbt Crd 0514  Apple.com-bill Ca",2.15,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Main Personal","0232",,""
"2025-03-21","Dbt Crd 1836  O Reilly 4732 Boerne Tx",109.83,"posted","B - Auto Repair","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-03-21","Exxonmobil",52.38,"posted","B - Fuel","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
