"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-05-31","Transfer 67x0067 To 65x",-2000,"posted","",,true,,"internal transfer","Main Personal","0232",,""
"2025-05-31","Dbt Crd 1656  Lemonade Insurance Com New York Ny",23.83,"posted","Insurance","Future Needs/Saving",false,,"regular","Main Personal","0232",,""
"2025-05-31","Transfer 67x0067 To 65x",2000,"posted","",,true,,"internal transfer","Cheetah Savings","0067",,""
"2025-05-31","Transfer 65x0230 To 67x",-2000,"posted","",,true,,"internal transfer","Cheetah Savings","0067",,""
"2025-05-31","Dbt Crd 2034  Sq Lupe S Local Mex-t Boerne Tx",34.51,"posted","Restaurants","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-05-31","Transfer 65x0230 To 67x",2000,"posted","",,true,,"internal transfer","Cheetah Checking","0230",,""
"2025-05-31","Dbt Crd 1243  Paypal Hostinger De",97.74,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-05-30","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Savings Personal","0231",,""
"2025-05-30","Maintenance Fee",5,"posted","Bank Fees",,false,,"regular","Main Personal","0232",,""
"2025-05-30","Maintenance Fee",10,"posted","Bank Fees",,false,,"regular","Cheetah Checking","0230",,""
"2025-05-29","Venmo",21.64,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-05-29","Circle K",15.43,"posted","Groceries","Food & Drink",false,,"regular","Cheetah Checking","0230",,""
"2025-05-29","Dbt Crd 2301  Lovable Lovable.dev De",25,"posted","B - Software and subscriptions","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
"2025-05-28","Circle K",25.68,"posted","Groceries","Food & Drink",false,,"regular","Main Personal","0232",,""
"2025-05-28","Tele Bill Gvtc",76.44,"posted","Utilities","Home Essentials",false,,"regular","Main Personal","0232",,""
"2025-05-28","Netflix",27.05,"posted","Movies and Video Games","Shopping",false,,"regular","Main Personal","0232",,""
"2025-05-28","Dbt Crd 0214  Progressive Ins Oh",156.18,"posted","Insurance","Future Needs/Saving",false,,"regular","Cheetah Checking","0230",,""
"2025-05-28","Dbt Crd 1553  Amazon",23.8,"posted","B - COGS","Cheetah Elevation, LLC",false,"Grit","regular","Cheetah Checking","0230","5x5x5 shipping boxes",""
"2025-05-28","Dbt Crd 1130  Candle Science Inc. Nc",281.28,"posted","COGS - Grit Collective Co.","Cheetah Elevation, LLC",false,,"regular","Cheetah Checking","0230",,""
